question_id,source,company,section,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_answer
25,PrepMaster,General,AI & ML,ML,Easy,Mini-batch GD uses:,One sample,Half data,Full dataset,A subset per update,D
26,PrepMaster,General,AI & ML,ML,Hard,Vanishing gradient problem:,Accuracy drops,Model fails to converge,Gradients too small to update early layers,Gradients too large,C
27,PrepMaster,General,AI & ML,ML,Medium,Most common hidden layer activation in deep nets:,Sigmoid,Tanh,ReLU,Softmax,C
28,PrepMaster,General,AI & ML,ML,Medium,Softmax used in output for:,Regression,Multiclass classification,Clustering,Binary classification,B
29,PrepMaster,General,AI & ML,ML,Medium,KNN default distance metric:,Cosine,Euclidean,Minkowski,Manhattan,B
30,PrepMaster,General,AI & ML,ML,Easy,'K' in KNN represents:,Number of nearest neighbors,Kernel parameter,Number of clusters,Number of features,A
31,PrepMaster,General,AI & ML,ML,Hard,KNN is an example of:,Eager learning,Deep learning,Reinforcement learning,Lazy learning,D
32,PrepMaster,General,AI & ML,ML,Medium,SVM finds:,Optimal hyperplane maximizing margin,Best cluster centroids,Decision tree splits,Regression line,A
33,PrepMaster,General,AI & ML,ML,Hard,Kernel trick in SVM:,Faster training,Non-linear classification in transformed space,Less memory,Larger margins,B
34,PrepMaster,General,AI & ML,ML,Hard,Naive Bayes assumes:,Normal distribution,Binary features,Features conditionally independent given class,Features correlated,C
35,PrepMaster,General,AI & ML,ML,Easy,Random Forest is ensemble of:,SVMs,K-Means,Decision Trees,Neural Networks,C
36,PrepMaster,General,AI & ML,ML,Medium,Boosting trains models to:,Create clusters,Correct errors of previous models,Label data,Extract features,B
37,PrepMaster,General,AI & ML,ML,Easy,XGBoost stands for:,Extended Gradient Boosting,Extreme Gradient Boosting,Exponential Gradient Boosting,Extra Gradient Boosting,B
38,PrepMaster,General,AI & ML,ML,Hard,Bagging reduces:,Variance,Training time,Overfitting only,Bias,A
39,PrepMaster,General,AI & ML,ML,Easy,Confusion matrix summarizes:,Feature importance,Training loss,Epochs,Classification performance via TP/FP/TN/FN,D
40,PrepMaster,General,AI & ML,ML,Hard,False Positive (FP) is also called:,Type II error,Type I error,True error,System error,B
41,PrepMaster,General,AI & ML,ML,Hard,False Negative (FN) is also called:,False error,Type II error,Zero error,Type I error,B
42,PrepMaster,General,AI & ML,ML,Hard,Best metric for imbalanced datasets:,Accuracy,F1-Score or AUC-ROC,MSE,R²,B
43,PrepMaster,General,AI & ML,ML,Easy,Data normalization:,Encodes labels,Selects features,Removes missing values,Scales features to same range,D
44,PrepMaster,General,AI & ML,ML,Easy,Min-Max scaling range:,"N(0,1)","[0, 1]","[-1, 1]","[0, ∞)",B
45,PrepMaster,General,AI & ML,ML,Medium,Z-score standardization produces:,"Range [-1,1]","Mean 0, std 1","Range [0,1]",Max 1,B
46,PrepMaster,General,AI & ML,ML,Hard,Isolation Forest is used for:,Classification,Clustering,Anomaly detection,Regression,C
47,PrepMaster,General,AI & ML,ML,Medium,Transfer learning:,Trains from scratch,Reuses pre-trained model for new tasks,Clusters data,Augments data,B
48,PrepMaster,General,AI & ML,ML,Medium,Dimensionality reduction:,Increases accuracy,Reduces features while retaining info,Adds features,Improves precision,B
49,PrepMaster,General,AI & ML,ML,Medium,PCA is a ___ dimensionality reduction technique:,Supervised,Non-linear,Linear,Probabilistic,C
50,PrepMaster,General,AI & ML,ML,Easy,PCA = ?,Predictive Component Analysis,Partial Component Analysis,Principal Class Algorithm,Principal Component Analysis,D
51,PrepMaster,General,AI & ML,ML,Medium,t-SNE is primarily for:,Model training,Data visualization in 2D/3D,Feature selection,Prediction,B
52,PrepMaster,General,AI & ML,ML,Hard,GAN consists of:,Generator and Discriminator,Input and Output layers,Conv and Pooling layers,Encoder and Decoder,A
53,PrepMaster,General,AI & ML,ML,Hard,Generator's goal in GAN:,Classify inputs,Fool the discriminator,Select features,Minimize loss directly,B
54,PrepMaster,General,AI & ML,ML,Medium,Elbow Method is used for:,Optimal number of clusters,Feature selection,Data splitting,Learning rate,A
55,PrepMaster,General,AI & ML,ML,Hard,Silhouette score evaluates:,Feature importance,Training loss,Cluster quality,Model accuracy,C
56,PrepMaster,General,AI & ML,ML,Hard,DBSCAN doesn't require specifying:,Epsilon,Number of clusters,Minimum points,Distance metric,B
57,PrepMaster,General,AI & ML,ML,Easy,K-Means assigns clusters by:,Density,Distance to centroids,Label similarity,Tree splits,B
58,PrepMaster,General,AI & ML,ML,Medium,Hierarchical clustering produces:,A dendrogram,Feature weights,Cluster centers,Class probabilities,A
59,PrepMaster,General,AI & ML,ML,Medium,Association rule mining finds:,Co-occurring items in transactions,Continuous predictions,Anomalies,Classifications,A
60,PrepMaster,General,AI & ML,ML,Medium,Apriori mines:,Frequent itemsets,Neural network weights,Principal components,Decision boundaries,A
61,PrepMaster,General,AI & ML,ML,Medium,Support in association rules:,Number of rules,Lift value,Frequency of itemset in dataset,Confidence level,C
62,PrepMaster,General,AI & ML,ML,Medium,Confidence in association rules:,P(A),P(A∪B),P(A∩B),P(B|A),D
63,PrepMaster,General,AI & ML,ML,Hard,Lift > 1 indicates:,Negative correlation,High support,No correlation,Positive correlation between items,D
64,PrepMaster,General,AI & ML,ML,Easy,MSE is used for:,Dimensionality reduction,Classification,Clustering,Regression evaluation,D
65,PrepMaster,General,AI & ML,ML,Easy,R² = 1 means:,Perfect fit,50% variance explained,Random prediction,No fit,A
66,PrepMaster,General,AI & ML,ML,Hard,Negative R² means:,Model worse than horizontal baseline,Perfect fit,100% variance explained,Overfitting,A
67,PrepMaster,General,AI & ML,ML,Easy,MAE = ?,Mean Absolute Error,Model Absolute Evaluation,Mean Accuracy Error,Maximum Absolute Error,A
68,PrepMaster,General,AI & ML,ML,Medium,RMSE penalizes:,Large errors more than MAE,Small errors,Zero errors,All errors equally,A
69,PrepMaster,General,AI & ML,ML,Medium,Learning curve shows:,Feature importance,Loss over epochs,Confusion matrix,Model performance vs training data size,D
70,PrepMaster,General,AI & ML,ML,Medium,Grid search:,Selects features,Trains faster,Reduces overfitting,Finds best hyperparameter combination exhaustively,D
71,PrepMaster,General,AI & ML,ML,Hard,Random search is better than grid search when:,Few features,Data is small,Model is linear,Search space is very large,D
72,PrepMaster,General,AI & ML,ML,Hard,Bayesian optimization uses:,Random sampling,Full grid,Manual tuning,Prior knowledge + likelihood,D
73,PrepMaster,General,AI & ML,ML,Hard,Feature importance in Random Forest:,PCA loading,Gradient magnitude,Mean decrease in impurity,Correlation with label,C
74,PrepMaster,General,AI & ML,ML,Easy,Logistic Regression output:,Cluster assignment,Decision tree node,Probability between 0 and 1,Real-valued number,C
75,PrepMaster,General,AI & ML,ML,Medium,Sigmoid function maps to:,"(0, 1)","(-∞, ∞)","[0, ∞)","[-1, 1]",A
76,PrepMaster,General,AI & ML,ML,Easy,One-hot encoding:,Encodes categorical variables as binary vectors,Reduces dimensions,Handles missing values,Scales numerical data,A
77,PrepMaster,General,AI & ML,ML,Easy,Label encoding:,Splits data,Removes labels,Normalizes labels,Assigns integers to categories,D
78,PrepMaster,General,AI & ML,ML,Hard,Data leakage:,Missing data,Test set info leaks into training,Mislabeled data,Overfitting,B
79,PrepMaster,General,AI & ML,ML,Medium,Stratified sampling:,Cluster sampling,Random sampling,Preserves class distribution in samples,Systematic sampling,C
80,PrepMaster,General,AI & ML,ML,Hard,Time series should be split:,Stratified,K-fold,"By time order, not randomly",Randomly,C
81,PrepMaster,General,AI & ML,ML,Hard,No Free Lunch theorem:,Deep learning always wins,No single algorithm best for all problems,More data always helps,Simpler is always better,B
82,PrepMaster,General,AI & ML,ML,Hard,Occam's Razor in ML:,More features improve,Complex is better,Training longer helps,Prefer simpler models if they explain data well,D
83,PrepMaster,General,AI & ML,ML,Easy,Most interpretable algorithm:,SVM-RBF,XGBoost,Decision Tree,Neural Network,C
84,PrepMaster,General,AI & ML,ML,Medium,Early stopping:,Speeds up training,Stops training when validation loss increases,Improves accuracy,Reduces bias,B
85,PrepMaster,General,AI & ML,ML,Easy,Most popular traditional ML library in Python:,Keras,PyTorch,scikit-learn,TensorFlow,C
86,PrepMaster,General,AI & ML,ML,Easy,fit() in scikit-learn:,Preprocesses data,Evaluates model,Makes predictions,Trains the model on data,D
87,PrepMaster,General,AI & ML,ML,Easy,predict() in scikit-learn:,Trains model,Evaluates accuracy,Generates predictions on new data,Transforms features,C
88,PrepMaster,General,AI & ML,ML,Medium,score() in scikit-learn returns:,Feature importance,Training loss,Accuracy (classifiers) or R² (regressors),Validation loss,C
89,PrepMaster,General,AI & ML,ML,Medium,What is the purpose of scikit-learn's Pipeline?,Plots results,Chains preprocessing and model steps,Creates neural nets,Handles databases,B
90,PrepMaster,General,AI & ML,ML,Easy,A model with low training error but high test error is:,Well-generalized,Unbiased,Underfitting,Overfitting,D
91,PrepMaster,General,AI & ML,ML,Easy,A model with high training AND test error is:,Overfitting,Well-generalized,Regularized,Underfitting,D
92,PrepMaster,General,AI & ML,ML,Easy,Which of these is a distance-based algorithm?,Naive Bayes,Decision Tree,Logistic Regression,KNN,D
93,PrepMaster,General,AI & ML,ML,Hard,Which algorithm works best with high-dimensional sparse data?,K-Means,KNN,Naive Bayes,SVM-linear or Naive Bayes,D
94,PrepMaster,General,AI & ML,ML,Hard,What is the curse of dimensionality?,"As dimensions increase, data becomes sparse and distances less meaningful",Dimensions slow training,Dimensions reduce model accuracy,More dimensions always help,A
95,PrepMaster,General,AI & ML,ML,Hard,Ensemble methods combine models to:,Reduce bias AND variance compared to any single model,Only reduce bias,Only reduce variance,Increase interpretability,A
96,PrepMaster,General,AI & ML,ML,Medium,What does 'fit' mean in the context of a scikit-learn transformer?,Creates a new dataset,Validates the data,Learns transformation parameters from training data,Applies the transformation,C
97,PrepMaster,General,AI & ML,Python,Easy,Python is:,Low-level compiled language,Markup language,Database language,"High-level, interpreted, general-purpose language",D
98,PrepMaster,General,AI & ML,Python,Easy,Python's data type for ordered mutable collection:,list,set,dict,tuple,A
99,PrepMaster,General,AI & ML,Python,Easy,Python's data type for ordered immutable collection:,tuple,set,frozenset,list,A
100,PrepMaster,General,AI & ML,Python,Easy,Python's data type for unordered unique elements:,set,dict,tuple,list,A
101,PrepMaster,General,AI & ML,Python,Easy,Python dictionary is:,Ordered list,Fixed-size array,Sorted collection,Unordered key-value pairs (ordered insertion in Python 3.7+),D
102,PrepMaster,General,AI & ML,Python,Easy,Output of type(42):,<class 'str'>,<class 'int'>,<class 'num'>,<class 'float'>,B
103,PrepMaster,General,AI & ML,Python,Easy,Output of type(3.14):,<class 'int'>,<class 'number'>,<class 'float'>,<class 'double'>,C
104,PrepMaster,General,AI & ML,Python,Easy,What is list comprehension?,Creates dictionary,Filters None values,Creates list using concise one-line expression,Deletes list elements,C
105,PrepMaster,General,AI & ML,Python,Easy,"Output of len([1,2,3,4]):",5,4,3,Error,B
106,PrepMaster,General,AI & ML,Python,Easy,Keyword to define a function:,def,func,define,function,A
107,PrepMaster,General,AI & ML,Python,Medium,*args allows:,Variable number of positional arguments,Fixed arguments,No arguments,Keyword arguments only,A
108,PrepMaster,General,AI & ML,Python,Medium,**kwargs allows:,Variable number of keyword arguments,No extras,Positional arguments,Default only,A
109,PrepMaster,General,AI & ML,Python,Medium,Lambda function is:,Named function,Generator,Anonymous single-expression function,Class method,C
110,PrepMaster,General,AI & ML,Python,Medium,map() does:,Applies function to each item in iterable,Reduces to one value,Filters elements,Sorts elements,A
111,PrepMaster,General,AI & ML,Python,Medium,filter() does:,Applies to all,Reduces to one value,Returns elements where function returns True,Maps and filters,C
112,PrepMaster,General,AI & ML,Python,Hard,Generator in Python:,List comprehension variant,Function returning list,Class for objects,Function that yields values one at a time,D
113,PrepMaster,General,AI & ML,Python,Easy,List vs Tuple key difference:,"Tuples mutable, lists not",Both mutable,Both immutable,"Lists mutable, tuples immutable",D
114,PrepMaster,General,AI & ML,Python,Medium,'with' statement:,Loops over items,"Manages context (e.g., file handling)",Creates new function,Defines class,B
115,PrepMaster,General,AI & ML,Python,Hard,Decorator in Python:,Function that modifies another function,Module importer,Loop modifier,Class attribute,A
116,PrepMaster,General,AI & ML,Python,Hard,GIL (Global Interpreter Lock):,Security feature,Memory manager,Allows only one thread to run Python bytecode at a time,Locks database,C
117,PrepMaster,General,AI & ML,Python,Easy,'pass' in Python:,Skips iteration,Does nothing; placeholder,Returns None,Breaks loop,B
118,PrepMaster,General,AI & ML,Python,Medium,"Output of range(2,10,3):","[3,6,9]","range producing [2,5,8]","[2,5,7]","[2,4,6,8]",B
119,PrepMaster,General,AI & ML,Python,Easy,Module for regular expressions:,regexp,re,match,regex,B
120,PrepMaster,General,AI & ML,Python,Easy,os.path.join() does:,Concatenates strings,Joins lists,Opens files,Safely joins file path components,D
121,PrepMaster,General,AI & ML,Python,Medium,pickle module does:,Creates databases,Serializes/deserializes Python objects,Manages dates,Handles images,B
122,PrepMaster,General,AI & ML,Python,Medium,Virtual environment in Python:,Shared global env,Test env only,Cloud-based env,Isolated Python environment with its own packages,D
123,PrepMaster,General,AI & ML,Python,Medium,__init__.py makes:,Imports modules,Initializes classes,Directory into a Python package,Defines main,C
124,PrepMaster,General,AI & ML,Python,Medium,'self' in a class:,Current instance of the class,Global variable,Class itself,Parent class,A
125,PrepMaster,General,AI & ML,Python,Medium,__str__ method:,Comparison method,Destructor,User-friendly string representation of object,Constructor,C
126,PrepMaster,General,AI & ML,Python,Medium,Method overriding:,Subclass redefines parent class method,Calling parent,Deleting methods,Creating new methods,A
127,PrepMaster,General,AI & ML,Python,Medium,Multiple inheritance:,Two identical classes,Class inherits from more than one parent,Method reuse,Single inheritance,B
128,PrepMaster,General,AI & ML,Python,Hard,MRO (Method Resolution Order):,Order of method calls,Order of attribute access,Import order,Order Python looks up methods in inheritance hierarchy,D
129,PrepMaster,General,AI & ML,Python,Medium,super() does:,Creates superclass,Deletes parent,Calls parent class method,Imports parent,C
130,PrepMaster,General,AI & ML,Python,Hard,Property in Python:,External file,Module attribute,Manages attribute access via getter/setter methods,Class variable,C
131,PrepMaster,General,AI & ML,Python,Hard,@staticmethod vs @classmethod:,Both same,classmethod has no self,staticmethod: no class/instance access; classmethod: gets class as first arg,staticmethod needs cls,C
132,PrepMaster,General,AI & ML,Python,Hard,Python garbage collection:,OS-level,Manual management,Reference counting + cyclic GC,Stack-based,C
133,PrepMaster,General,AI & ML,Python,Medium,itertools module:,Database connections,Efficient iterators for looping,Math operations,File I/O,B
134,PrepMaster,General,AI & ML,Python,Medium,collections module:,Specialized container datatypes,Network ops,File handling,Basic containers,A
135,PrepMaster,General,AI & ML,Python,Hard,namedtuple:,Mutable dictionary,Named list,Regular tuple,Immutable sequence with named fields,D
136,PrepMaster,General,AI & ML,Python,Hard,defaultdict:,Ordered dict,Dict providing default values for missing keys,Shared dict,Read-only dict,B
137,PrepMaster,General,AI & ML,Python,Medium,Counter in collections:,Counts occurrences of hashable items,Counts function calls,Counts file lines,Counts iterations,A
138,PrepMaster,General,AI & ML,Python,Easy,json.dumps():,Converts Python object to JSON string,Deletes JSON keys,Parses JSON string,Reads JSON from file,A
139,PrepMaster,General,AI & ML,Python,Easy,json.loads():,Loads JSON file,Dumps to JSON,Writes JSON to file,Parses JSON string to Python object,D
140,PrepMaster,General,AI & ML,Python,Medium,== vs 'is' in Python:,Both check identity,== checks type,== checks value; 'is' checks identity,Both check values,C
141,PrepMaster,General,AI & ML,Python,Hard,Shallow copy vs deep copy:,Deep copies top level,Shallow copies reference; deep copies all nested objects,Shallow copies all,Both copy all,B
142,PrepMaster,General,AI & ML,Python,Easy,from module import function:,Imports all,Requires reload,Imports specific function from module,Imports module only,C
143,PrepMaster,General,AI & ML,Python,Easy,Output of 2**10:,1024,100,20,512,A
144,PrepMaster,General,AI & ML,Python,Medium,zip() does:,Merges by appending,Sorts lists,Combines two iterables element-wise,Compresses files,C
145,PrepMaster,General,AI & ML,Python,Easy,enumerate() does:,Counts elements,Sorts by index,Adds index to iterable elements,Removes duplicates,C
146,PrepMaster,General,AI & ML,Python,Medium,append() vs extend():,extend adds at start,Both add multiple,append adds one item; extend adds multiple items,Both add one,C
147,PrepMaster,General,AI & ML,Python,Easy,sorted() returns:,Sorted in-place,Tuple,Generator,New sorted list,D
148,PrepMaster,General,AI & ML,Python,Easy,List slicing:,Deletes elements,Sorts list,Copies whole list,Extracts sub-list using indices,D
149,PrepMaster,General,AI & ML,Python,Medium,frozenset is:,Sorted set,Immutable version of set,Set with None,Ordered set,B
150,PrepMaster,General,AI & ML,Python,Medium,Empty containers are:,Truthy,Depends on type,Falsy in Python,Neither,C
151,PrepMaster,General,AI & ML,Python,Medium,assert does:,Tests condition; raises AssertionError if False,Skips block,Breaks code,Logs message,A
152,PrepMaster,General,AI & ML,Python,Easy,finally in try-except:,Raises exceptions,Catches all,Runs regardless of exception,Skips code,C
153,PrepMaster,General,AI & ML,Python,Hard,Context manager:,Generator,Class method,Decorator,Object with __enter__ and __exit__ for resource management,D
154,PrepMaster,General,AI & ML,Python,Easy,any() does:,Returns False always,Returns True if any element is truthy,Counts truthy,Returns True if all truthy,B
155,PrepMaster,General,AI & ML,Python,Easy,all() does:,Returns count,Returns True if any truthy,Returns True only if all elements truthy,Returns False if empty,C
156,PrepMaster,General,AI & ML,Python,Medium,__len__ method:,Returns string,Returns length of an object,Returns hash,Returns type,B
157,PrepMaster,General,AI & ML,Python,Medium,@property decorator:,Deletes attributes,Accesses method like an attribute,Creates static methods,Overrides operators,B
158,PrepMaster,General,AI & ML,Python,Hard,Duck typing:,"If it behaves like a type, treat it as that type",Dynamic memory allocation,Strict type checking,Explicit casting,A
159,PrepMaster,General,AI & ML,Python,Hard,__slots__ in Python:,Enables multiple inheritance,Restricts instance attributes to save memory,Adds all attributes,Defines slots in memory,B
160,PrepMaster,General,AI & ML,Python,Hard,asyncio is for:,Multi-threading,File parsing,Writing async (non-blocking) I/O code,GPU processing,C
161,PrepMaster,General,AI & ML,Python,Hard,yield in a generator:,Returns all values,Acts like return in loops,Ends function,Pauses execution and returns value to caller,D
162,PrepMaster,General,AI & ML,Python,Medium,@classmethod receives:,self (instance),Both cls and self,cls as first argument (the class itself),No arguments,C
163,PrepMaster,General,AI & ML,Python,Hard,Monkey patching:,Static analysis,Dynamically modifying class/module at runtime,Unit testing,Fixing code bugs,B
164,PrepMaster,General,AI & ML,Python,Hard,__call__ enables:,Returning the object,Calling class,Calling object like a function,Calling superclass,C
165,PrepMaster,General,AI & ML,Python,Hard,Memoization:,Memory management,Variable storing,Caching expensive function results,Module caching,C
166,PrepMaster,General,AI & ML,Python,Medium,@functools.lru_cache:,Least-recently-used memory,Memoization decorator,Only in Python 3.9+,Loading cache from disk,B
167,PrepMaster,General,AI & ML,Python,Hard,async/await is used for:,Multithreading,Asynchronous coroutines,Multiprocessing,Parallel loops,B
168,PrepMaster,General,AI & ML,Python,Hard,__getitem__ enables:,Indexing with [],String conversion,Length check,Iteration,A
169,PrepMaster,General,AI & ML,Python,Medium,Type hinting:,Enforcing types at runtime,Converting types,Hiding types,Annotating variables/functions with expected types,D
170,PrepMaster,General,AI & ML,Python,Medium,dataclass decorator:,Creates GUIs,Creates DB models,Adds slots,"Auto-generates __init__, __repr__, __eq__ etc.",D
171,PrepMaster,General,AI & ML,Python,Hard,Threads vs processes in Python:,Both share,Threads share memory; processes have separate memory,Processes faster always,Both separate,B
172,PrepMaster,General,AI & ML,Python,Hard,multiprocessing bypasses GIL because:,GIL doesn't exist in multiprocessing,Each process has its own Python interpreter,GIL only affects I/O,Processes run in one interpreter,B
173,PrepMaster,General,AI & ML,Python,Hard,__hash__ controls:,Memory address,Equality,Ordering,Whether object can be used as dict key or set element,D
174,PrepMaster,General,AI & ML,Python,Hard,functools.partial:,Reduces function,Pre-fills some arguments of a function creating new function,Wraps in decorator,Creates partial class,B
175,PrepMaster,General,AI & ML,Python,Medium,Walrus operator (:=):,Assigns value within an expression,Creates variable separately,Defines walrus type,Compares values,A
176,PrepMaster,General,AI & ML,Python,Easy,f-string example:,'Hello'.format(name),"format('Hello', name)",'Hello' % name,f'Hello {name}',D
177,PrepMaster,General,AI & ML,Python,Easy,str.split() returns:,A generator,A tuple,A set,A list of substrings,D
178,PrepMaster,General,AI & ML,Python,Easy,NumPy primary use:,Web development,Numerical computing with multi-dimensional arrays,Database management,UI design,B
179,PrepMaster,General,AI & ML,Python,Easy,pandas primary use:,Image processing,Data manipulation and analysis with DataFrames,Deep learning,Numerical computing,B
180,PrepMaster,General,AI & ML,Python,Easy,matplotlib primary use:,Machine learning,Data visualization,Data manipulation,Web scraping,B
181,PrepMaster,General,AI & ML,Python,Easy,pd.read_csv():,Writes CSV,Creates CSV,Deletes rows,Reads CSV file into a DataFrame,D
182,PrepMaster,General,AI & ML,Python,Easy,df.head():,Shows all,Shows first 5 rows of DataFrame,Shows column names only,Shows last 5,B
183,PrepMaster,General,AI & ML,Python,Easy,df.dropna():,Counts NaN,Fills missing values,Replaces missing,Removes rows with missing values,D
184,PrepMaster,General,AI & ML,Python,Easy,df.fillna(value):,Fills missing values with specified value,Drops missing rows,Counts NaN,Creates column,A
185,PrepMaster,General,AI & ML,Python,Medium,Vectorized NumPy operation:,Loop-based,Applied element-wise without explicit loops,Manual element access,GPU operations,B
186,PrepMaster,General,AI & ML,Python,Medium,np.array vs list:,np.array supports vectorized math; list is general-purpose,Both identical,np.array is slower,List is faster,A
187,PrepMaster,General,AI & ML,Python,Easy,How to install packages in Python:,npm install,py install,pip install package_name,python install,C
188,PrepMaster,General,AI & ML,Python,Easy,What is pip?,Python IDE,Python interpreter,Package installer for Python,Python debugger,C
189,PrepMaster,General,AI & ML,Python,Easy,What is a Python module?,A package manager,A .py file containing reusable code,A Python class,A virtual env,B
190,PrepMaster,General,AI & ML,Python,Easy,What is a Python package?,A compiled library,A directory of modules with __init__.py,A Python version,A single .py file,B
191,PrepMaster,General,AI & ML,Python,Easy,str() function:,Converts object to string,Creates string class,Concatenates strings,Formats strings,A
192,PrepMaster,General,AI & ML,Python,Easy,int() function:,Converts to integer,Compares integers,Creates integer class,Adds integers,A
193,PrepMaster,General,AI & ML,Python,Hard,in operator with sets is O(?):,O(n),O(log n),O(n²),O(1) average,D
194,PrepMaster,General,AI & ML,Python,Medium,"In Python 3, / operator does:",Floor division,Integer division,True division (returns float),Modulo,C
195,PrepMaster,General,AI & ML,Python,Easy,// operator in Python:,Ceiling division,True division,Floor division,Power,C
196,PrepMaster,General,AI & ML,Python,Easy,% operator in Python:,Division,Multiplication,Modulo (remainder),Percentage,C
197,PrepMaster,General,AI & ML,Deep Learning,Easy,What is a neural network?,Layers of interconnected neurons that learn representations,Statistical test,Ensemble of models,Decision tree variant,A
198,PrepMaster,General,AI & ML,Deep Learning,Easy,What is the hidden layer?,Input layer,Output layer,Activation layer,Layer between input and output learning representations,D
199,PrepMaster,General,AI & ML,Deep Learning,Medium,What is backpropagation?,Algorithm computing gradients via chain rule,Forward computation,Weight init,Data preprocessing,A
200,PrepMaster,General,AI & ML,Deep Learning,Easy,What is an epoch?,One batch update,One prediction,One complete pass through the training dataset,One feature processed,C
201,PrepMaster,General,AI & ML,Deep Learning,Medium,Purpose of activation functions:,Speed up training,Normalize inputs,Introduce non-linearity,Reduce dimensions,C
202,PrepMaster,General,AI & ML,Deep Learning,Hard,Exploding gradient problem:,Gradients become very large causing unstable updates,Memory overflow,Activation saturation,Gradients too small,A
203,PrepMaster,General,AI & ML,Deep Learning,Hard,Gradient clipping:,Clips input values,Limits gradient magnitude to prevent exploding gradients,Removes neurons,Regularization only,B
204,PrepMaster,General,AI & ML,Deep Learning,Easy,ReLU: f(x) = ?,"max(0, x)",1/(1+e^-x),tanh(x),x,A
205,PrepMaster,General,AI & ML,Deep Learning,Medium,Leaky ReLU:,Parametric ReLU,ReLU with clipping,ReLU with small slope for negative inputs,ELU,C
206,PrepMaster,General,AI & ML,Deep Learning,Easy,Sigmoid range:,"(-1, 1)","(0, 1)","(-∞, ∞)","(0, ∞)",B
207,PrepMaster,General,AI & ML,Deep Learning,Easy,Tanh range:,"(0, ∞)","(0, 1)","(-1, 1)","(-∞, ∞)",C
208,PrepMaster,General,AI & ML,Deep Learning,Hard,Why Sigmoid not preferred in hidden layers:,Always preferred,Too complex,Too expensive,Causes vanishing gradients,D
209,PrepMaster,General,AI & ML,Deep Learning,Hard,Batch Normalization:,Normalizes weights,Normalizes data,Normalizes gradients,Normalizes activations within a batch to stabilize training,D
